"filename", "language", "Terraform", "Markdown", "comment", "blank", "total"
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/README.md", "Markdown", 0, 2, 0, 2, 4
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/api-management-api-operation/README.md", "Markdown", 0, 73, 0, 21, 94
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/api-management-api-operation/main.tf", "Terraform", 39, 0, 13, 7, 59
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/api-management-api-operation/outputs.tf", "Terraform", 8, 0, 13, 1, 22
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/api-management-api-operation/variables.tf", "Terraform", 45, 0, 13, 10, 68
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/api-management-api/README.md", "Markdown", 0, 74, 0, 21, 95
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/api-management-api/main.tf", "Terraform", 38, 0, 13, 8, 59
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/api-management-api/outputs.tf", "Terraform", 12, 0, 13, 2, 27
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/api-management-api/variables.tf", "Terraform", 56, 0, 13, 11, 80
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/api-management/README.md", "Markdown", 0, 58, 0, 18, 76
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/api-management/main.tf", "Terraform", 33, 0, 15, 6, 54
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/api-management/outputs.tf", "Terraform", 12, 0, 13, 2, 27
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/api-management/variables.tf", "Terraform", 42, 0, 13, 9, 64
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/key-vault-secret/README.md", "Markdown", 0, 50, 0, 18, 68
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/key-vault-secret/main.tf", "Terraform", 30, 0, 15, 5, 50
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/key-vault-secret/outputs.tf", "Terraform", 21, 0, 13, 5, 39
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/key-vault-secret/variables.tf", "Terraform", 22, 0, 13, 5, 40
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/key-vault/README.md", "Markdown", 0, 85, 0, 21, 106
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/key-vault/main.tf", "Terraform", 59, 0, 15, 12, 86
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/key-vault/outputs.tf", "Terraform", 16, 0, 13, 3, 32
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/key-vault/variables.tf", "Terraform", 55, 0, 13, 11, 79
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/service-bus-namespace/README.md", "Markdown", 0, 74, 0, 19, 93
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/service-bus-namespace/main.tf", "Terraform", 43, 0, 15, 8, 66
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/service-bus-namespace/outputs.tf", "Terraform", 16, 0, 13, 3, 32
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/service-bus-namespace/variables.tf", "Terraform", 52, 0, 13, 11, 76
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/service-bus-queue/README.md", "Markdown", 0, 39, 0, 15, 54
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/service-bus-queue/main.tf", "Terraform", 19, 0, 13, 2, 34
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/service-bus-queue/outputs.tf", "Terraform", 12, 0, 13, 2, 27
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/service-bus-queue/variables.tf", "Terraform", 27, 0, 13, 6, 46
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/service-bus-topic/README.md", "Markdown", 0, 57, 0, 17, 74
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/service-bus-topic/main.tf", "Terraform", 31, 0, 13, 5, 49
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/service-bus-topic/outputs.tf", "Terraform", 12, 0, 13, 2, 27
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/service-bus-topic/variables.tf", "Terraform", 36, 0, 13, 6, 55
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/sql-server/README.md", "Markdown", 0, 74, 0, 19, 93
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/sql-server/main.tf", "Terraform", 47, 0, 15, 10, 72
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/sql-server/outputs.tf", "Terraform", 24, 0, 13, 6, 43
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/sql-server/variables.tf", "Terraform", 51, 0, 13, 12, 76
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/storage-account/README.md", "Markdown", 0, 77, 0, 20, 97
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/storage-account/main.tf", "Terraform", 43, 0, 15, 9, 67
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/storage-account/outputs.tf", "Terraform", 26, 0, 13, 5, 44
"/Users/renenielsen/projects/energinet/geh-terraform-modules/azure/storage-account/variables.tf", "Terraform", 57, 0, 13, 12, 82
"Total", "-", 984, 663, 402, 387, 2436